iter	Passed	Remaining
269	388	1051
270	390	1049
271	391	1047
272	392	1044
273	393	1042
274	394	1040
275	396	1039
276	397	1037
277	398	1034
278	399	1032
279	400	1030
280	401	1028
281	402	1025
282	403	1023
283	404	1020
284	405	1018
285	407	1016
286	408	1014
287	409	1012
288	410	1011
289	411	1008
290	412	1005
291	413	1002
292	414	999
293	415	996
294	416	994
295	417	993
296	418	991
297	420	989
298	421	987
299	422	985
300	423	984
301	425	982
302	426	981
303	427	979
304	428	977
305	429	974
306	430	972
307	432	970
308	433	968
309	434	966
310	435	964
311	436	962
312	438	961
313	439	959
314	440	957
315	441	955
316	442	954
317	444	952
318	445	950
319	446	949
320	447	947
321	449	946
322	450	944
323	451	942
324	453	941
325	454	939
326	455	937
327	456	935
328	458	934
329	459	932
330	460	930
331	461	928
332	462	926
333	464	925
334	465	923
335	466	921
336	467	920
337	468	918
338	469	916
339	471	914
340	472	913
341	473	911
342	474	909
343	475	907
344	477	905
345	478	904
346	479	902
347	480	900
348	481	898
349	482	896
350	483	894
351	484	892
352	486	891
353	487	889
354	488	887
355	490	886
356	491	884
357	492	883
358	493	881
359	495	880
360	496	878
361	497	876
362	498	874
363	499	873
364	501	871
365	502	870
366	503	868
367	504	866
368	506	865
369	507	863
370	508	861
371	509	860
372	510	858
373	512	857
374	513	855
375	514	853
376	515	852
377	516	850
378	518	849
379	519	847
380	520	846
381	522	844
382	523	843
383	524	842
384	526	840
385	527	839
386	528	837
387	530	836
388	531	834
389	532	833
390	534	832
391	535	830
392	536	829
393	538	827
394	539	826
395	540	825
396	542	823
397	543	822
398	545	821
399	546	820
400	548	819
401	549	817
402	551	817
403	553	816
404	555	816
405	557	815
406	559	814
407	560	813
408	563	814
409	565	814
410	567	813
411	569	812
412	571	811
413	573	811
414	575	810
415	577	810
416	579	810
417	581	809
418	583	809
419	585	808
420	586	807
421	588	805
422	590	805
423	592	804
424	594	804
425	596	803
426	597	801
427	599	801
428	601	800
429	602	798
430	604	798
431	606	797
432	609	797
433	610	796
434	613	796
435	615	795
436	616	794
437	619	794
438	621	794
439	623	793
440	625	792
441	627	791
442	629	790
443	630	790
444	632	789
445	634	788
446	636	788
447	639	787
448	641	787
449	643	786
450	644	785
451	646	784
452	649	783
453	651	783
454	653	782
455	655	782
456	657	781
457	658	779
458	660	778
459	662	777
460	664	777
461	667	776
462	669	776
463	671	775
464	673	774
465	674	773
466	676	772
467	678	771
468	680	770
469	682	769
470	684	769
471	686	767
472	688	766
473	689	765
474	691	764
475	692	762
476	693	760
477	695	759
478	697	759
479	699	757
480	700	756
481	702	755
